Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,tag
Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,0.12,0.0,0.0,0.01,0.13,Xbox
Song of the Deep,2016,Action,Insomniac Games,0.12,0.0,0.0,0.01,0.13,Xbox
NBA Live 16,2015,Sports,EA Sports,0.11,0.01,0.0,0.01,0.13,Xbox
Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.13,Xbox
Sonic Mania,2017,Platform,Sega,0.09,0.03,0.0,0.01,0.13,Xbox
Dead by Daylight,2017,Action,505 Games,0.08,0.03,0.0,0.01,0.12,Xbox
Darksiders III,2018,Action,THQ Nordic,0.11,0.0,0.0,0.01,0.12,Xbox
Vampyr,2018,Role-Playing,Focus Home Interactive,0.07,0.04,0.0,0.01,0.12,Xbox
The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.12,Xbox
NASCAR Heat 2,2017,Racing,505 Games,0.11,0.0,0.0,0.01,0.12,Xbox
Life is Strange,2016,Adventure,Square Enix,0.08,0.03,0.0,0.01,0.12,Xbox
Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,0.11,0.0,0.0,0.01,0.12,Xbox
The Surge,2017,Action,Koch Media,0.07,0.04,0.0,0.01,0.12,Xbox
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.11,0.0,0.0,0.01,0.12,Xbox
Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.05,0.06,0.0,0.01,0.12,Xbox
Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.06,0.05,0.0,0.01,0.12,Xbox
7 Days to Die,2016,Action,Telltale Games,0.09,0.02,0.0,0.01,0.12,Xbox
Zombie Army Trilogy,2015,Shooter,Rebellion Developments,0.05,0.05,0.0,0.01,0.12,Xbox
Prototype: Biohazard Bundle,2016,Action,Activision,0.1,0.0,0.0,0.01,0.11,Xbox
Ride,2015,Racing,Milestone S.r.l.,0.05,0.05,0.0,0.01,0.11,Xbox
Agents of Mayhem,2017,Action,Deep Silver,0.07,0.03,0.0,0.01,0.11,Xbox
Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,Xbox
Killer Instinct (2013),2014,Fighting,Microsoft Studios,0.07,0.03,0.0,0.01,0.11,Xbox
MXGP 2,2016,Racing,Milestone S.r.l.,0.07,0.02,0.0,0.01,0.1,Xbox
NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,0.09,0.0,0.0,0.01,0.1,Xbox
TrackMania Turbo,2016,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.1,Xbox
Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,0.06,0.03,0.0,0.01,0.1,Xbox
Dead or Alive 5,2015,Fighting,Tecmo Koei,0.05,0.03,0.01,0.01,0.1,Xbox
Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.05,0.03,0.0,0.01,0.1,Xbox
Resident Evil Zero,2016,Action-Adventure,Capcom,0.07,0.02,0.0,0.01,0.1,Xbox
Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,Xbox
Yooka-Laylee,2017,Platform,Sold Out,0.05,0.04,0.0,0.01,0.1,Xbox
Real Farm,2017,Simulation,Soedesco,0.08,0.0,0.0,0.01,0.1,Xbox
We Happy Few,2018,Action-Adventure,Gearbox Software,0.07,0.01,0.0,0.01,0.09,Xbox
Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,0.08,0.0,0.0,0.01,0.09,Xbox
The Wolf Among Us,2014,Adventure,Telltale Games,0.06,0.02,0.0,0.01,0.09,Xbox
Attack on Titan 2,2018,Action,Koei Tecmo,0.08,0.0,0.0,0.01,0.09,Xbox
Rugby 15,2015,Sports,Bigben Interactive,0.03,0.05,0.0,0.01,0.09,Xbox
MXGP 3: The Official Motocross Videogame,2017,Racing,Milestone,0.06,0.02,0.0,0.01,0.09,Xbox
Bladestorm: Nightmare,2015,Action,Tecmo Koei,0.06,0.02,0.0,0.01,0.08,Xbox
Monster Energy Supercross - The Official Videogame,2018,Racing,Milestone S.r.l.,0.08,0.0,0.0,0.01,0.08,Xbox
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,Ubisoft,0.08,0.0,0.0,0.01,0.08,Xbox
Dead Island Definitive Collection,2016,Action,Deep Silver,0.05,0.03,0.0,0.01,0.08,Xbox
Ride 2,2016,Racing,Milestone S.r.l,0.06,0.01,0.0,0.01,0.08,Xbox
Elite: Dangerous,2017,Simulation,Frontier Developments,0.07,0.0,0.0,0.01,0.08,Xbox
Just Dance: Disney Party 2,2015,Music,Ubisoft,0.06,0.01,0.0,0.01,0.08,Xbox
Bulletstorm: Full Clip Edition,2017,Shooter,Gearbox Software,0.06,0.01,0.0,0.01,0.08,Xbox
Micro Machines: World Series,2017,Racing,Codemasters,0.02,0.05,0.0,0.01,0.08,Xbox
Darksiders II,2015,Action-Adventure,Nordic Games,0.05,0.03,0.0,0.01,0.08,Xbox
Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,0.03,0.04,0.0,0.01,0.08,Xbox
Toy Soldiers: War Chest,2015,Action,Ubisoft,0.07,0.0,0.0,0.01,0.08,Xbox
BlazBlue: Chrono Phantasma Extend,2015,Fighting,PQube,0.06,0.01,0.0,0.01,0.08,Xbox
Metal Gear Survive,2018,Action,Konami Digital Entertainment,0.05,0.01,0.0,0.01,0.08,Xbox
The Golf Club,2015,Sports,Ravenscourt,0.07,0.0,0.0,0.01,0.07,Xbox
Batman: A Telltale Game Series,2016,Adventure,Telltale Games,0.06,0.01,0.0,0.01,0.07,Xbox
Constructor HD,2017,Strategy,System 3,0.07,0.0,0.0,0.01,0.07,Xbox
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,Activision,0.05,0.01,0.0,0.01,0.07,Xbox
Valentino Rossi: The Game,2016,Racing,Namco Bandai Games,0.05,0.02,0.0,0.01,0.07,Xbox
Disneyland Adventures,2017,Action-Adventure,Microsoft Studios,0.05,0.01,0.0,0.01,0.07,Xbox
Dynasty Warriors 8: Empires,2014,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07,Xbox
Resident Evil 6,2016,Shooter,Capcom,0.06,0.0,0.0,0.01,0.07,Xbox
Ghostbusters (2016),2016,Action,Activision,0.06,0.0,0.0,0.01,0.07,Xbox
R.B.I. Baseball 2017,2017,Sports,MLB.com,0.06,0.0,0.0,0.01,0.07,Xbox
Aven Colony,2017,Strategy,Sold Out,0.06,0.0,0.0,0.01,0.06,Xbox
Adventure Time: Finn & Jake Investigations,2015,Action,Little Orbit,0.04,0.02,0.0,0.01,0.06,Xbox
Atari Flashback Classics: Volume 1,2016,Misc,Atari,0.06,0.0,0.0,0.01,0.06,Xbox
MotoGP 17,2017,Racing,Koch Media,0.04,0.02,0.0,0.01,0.06,Xbox
Wasteland 2,2015,Role-Playing,Deep Silver,0.05,0.01,0.0,0.01,0.06,Xbox
MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06,Xbox
Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.01,0.0,0.01,0.06,Xbox
Hasbro Family Fun Pack Conquest Edition,2016,Misc,Ubisoft,0.05,0.0,0.0,0.01,0.06,Xbox
Sherlock Holmes: The Devil's Daughter,2016,Adventure,Bigben Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.05,0.0,0.0,0.01,0.06,Xbox
Killing Floor 2Ê,2017,Shooter,Tripwire Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
R.B.I. Baseball 2016,2016,Sports,MLB.com,0.05,0.0,0.0,0.01,0.06,Xbox
Okami,2017,Action,Capcom,0.05,0.0,0.0,0.01,0.06,Xbox
Rapala Fishing Pro Series,2017,Simulation,GameMill,0.05,0.0,0.0,0.01,0.06,Xbox
Arslan: The Warriors of Legend,2016,Action,Tecmo Koei,0.05,0.0,0.0,0.01,0.06,Xbox
Golf Club 2,2017,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06,Xbox
Mark McMorris Infinite Air,2016,Sports,Maximum Games,0.05,0.0,0.0,0.01,0.06,Xbox
Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.06,Xbox
Hunting Simulator,2017,Shooter,Bigben Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
Styx: Shards of Darknes,2017,Action,Focus Home Interactive,0.05,0.0,0.0,0.01,0.06,Xbox
Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05,Xbox
Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.05,Xbox
Agatha Christie's The ABC Murders,2016,Adventure,Microids,0.04,0.0,0.0,0.01,0.05,Xbox
Brothers: A Tale of Two Sons,2015,Adventure,505 Games,0.04,0.01,0.0,0.01,0.05,Xbox
The Walking Dead: A Telltale Series Collection,2017,Adventure,Warner Bros. Interactive Entertainment,0.05,0.0,0.0,0.01,0.05,Xbox
Rugby 18,2017,Sports,Koch Media,0.04,0.0,0.0,0.01,0.05,Xbox
Has-Been Heroes,2017,Action,GameTrust,0.04,0.0,0.0,0.01,0.05,Xbox
Deformers,2017,Action,Ready at Dawn,0.04,0.0,0.0,0.01,0.05,Xbox
Extinction,2018,Action,Maximum Games,0.04,0.0,0.0,0.01,0.05,Xbox
Resident Evil 4 HD,2016,Action-Adventure,Capcom,0.04,0.0,0.0,0.01,0.05,Xbox
The Technomancer,2016,Role-Playing,Focus Home Interactive,0.03,0.02,0.0,0.0,0.05,Xbox
Cars 3: Driven to Win,2017,Racing,Warner Bros. Interactive Entertainment,0.04,0.0,0.0,0.01,0.05,Xbox
Pillars of Eternity,2017,Role-Playing,Paradox InteractiveÊ,0.04,0.0,0.0,0.01,0.05,Xbox
Just Sing,2016,Music,Ubisoft,0.04,0.0,0.0,0.01,0.05,Xbox
Mighty No. 9,2016,Platform,Deep Silver,0.04,0.0,0.0,0.01,0.05,Xbox
Batman: The Enemy Within,2017,Adventure,Telltale Games,0.04,0.0,0.0,0.01,0.05,Xbox
WRC 7,2017,Racing,Bigben Interactive,0.04,0.0,0.0,0.01,0.05,Xbox
King's Quest: The Complete Collection,2016,Adventure,Activision,0.04,0.0,0.0,0.01,0.05,Xbox
Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.04,0.0,0.0,0.01,0.05,Xbox
Road Rage,2017,Racing,Maximum Games,0.04,0.0,0.0,0.0,0.04,Xbox
Dragon's Dogma,2017,Role-Playing,Capcom,0.04,0.0,0.0,0.0,0.04,Xbox
Deer Hunter Reloaded,2017,Shooter,GameMill Entertainment,0.04,0.0,0.0,0.0,0.04,Xbox
Overcooked,2016,Action,Sold Out,0.04,0.0,0.0,0.0,0.04,Xbox
Resident Evil 5 HD,2016,Action,Capcom,0.04,0.0,0.0,0.0,0.04,Xbox
Darksiders: Warmastered Edition,2016,Action-Adventure,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Valkyria: Azure Revolution,2017,Role-Playing,Deep Silver,0.04,0.0,0.0,0.0,0.04,Xbox
Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.04,0.0,0.0,0.0,0.04,Xbox
Terraria,2014,Action,505 Games,0.0,0.04,0.0,0.0,0.04,Xbox
Elex,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.04,0.0,0.0,0.0,0.04,Xbox
Don't Starve,2018,Adventure,505 Games,0.04,0.0,0.0,0.0,0.04,Xbox
Dead Rising 2,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04,Xbox
Don Bradman Cricket 14,2015,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0,0.04,Xbox
Monster Jam: Crush It,2016,Racing,GameMill,0.03,0.0,0.0,0.0,0.04,Xbox
Shadow Warrior (2013),2014,Shooter,Devolver Digital,0.0,0.04,0.0,0.0,0.04,Xbox
Dead Alliance,2017,Shooter,Maximum Games,0.03,0.0,0.0,0.0,0.04,Xbox
Warriors Orochi 3,2014,Action,Tecmo Koei,0.01,0.03,0.0,0.0,0.04,Xbox
Dead Rising,2016,Action,Capcom,0.03,0.0,0.0,0.0,0.04,Xbox
Sine Mora,2017,Action,THQ Nordic,0.03,0.0,0.0,0.0,0.04,Xbox
WRC 6,2016,Racing,PQube,0.03,0.0,0.0,0.0,0.03,Xbox
Black Mirror,2017,Adventure,THQ Nordic,0.03,0.0,0.0,0.0,0.03,Xbox
Pure Farming 2018,2018,Simulation,Techland,0.03,0.0,0.0,0.0,0.03,Xbox
MotoGP 15,2015,Racing,Milestone S.r.l.,0.0,0.03,0.0,0.0,0.03,Xbox
Raid: World War II,2017,Shooter,505 Games,0.03,0.0,0.0,0.0,0.03,Xbox
Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.01,0.0,0.0,0.03,Xbox
INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.03,0.0,0.0,0.0,0.03,Xbox
Warhammer: The End Times - Vermintide,2016,Action,Games Workshop,0.03,0.0,0.0,0.0,0.03,Xbox
Stardew Valley,2017,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03,Xbox
